Proteins,GO-terms,Scores
O14793,GO:0008150,0.35266954
O14793,GO:0050789,0.31927636
O14793,GO:0065007,0.3188759
O14793,GO:0050794,0.30552703
O14793,GO:0009987,0.29503548
O14793,GO:0060255,0.28737825
O14793,GO:0019222,0.28065246
O14793,GO:0048522,0.27212954
O14793,GO:0010604,0.27200064
O14793,GO:0048518,0.27136272
O14793,GO:0031325,0.26650894
O14793,GO:0009893,0.26645023
O14793,GO:0001932,0.2631669
O14793,GO:0031323,0.26314354
O14793,GO:0080090,0.2625611
O14793,GO:0051173,0.26209623
O14793,GO:0032268,0.2616526
O14793,GO:0051174,0.2593649
O14793,GO:0051171,0.2582655
O14793,GO:0042325,0.25743562
O14793,GO:0019220,0.2565149
O14793,GO:0031399,0.25589466
O14793,GO:0023051,0.255134
O14793,GO:0001934,0.2542842
O14793,GO:0010646,0.2537294
O14793,GO:0051246,0.25211412
O14793,GO:0045937,0.2508915
O14793,GO:0042327,0.2502764
O14793,GO:0010562,0.24884169
O14793,GO:0009966,0.24579208
O14793,GO:0048583,0.24208863
O14793,GO:0031401,0.24203071
O14793,GO:0032270,0.22887838
O14793,GO:0051239,0.22457182
O14793,GO:0051247,0.21891813
O14793,GO:0048584,0.21638525
O14793,GO:0023056,0.21579233
O14793,GO:0009967,0.21360178
O14793,GO:0010647,0.21269956
O14793,GO:0048519,0.21222782
O14793,GO:0007165,0.20756885
O14793,GO:0032502,0.20431349
O14793,GO:0050793,0.20300594
O14793,GO:0032879,0.20068917
O14793,GO:0007167,0.1998521
O14793,GO:1902531,0.198473
O14793,GO:0048856,0.19772199
O14793,GO:2000026,0.19457977
O14793,GO:0048523,0.1910197
O14793,GO:0010468,0.18619332
O14793,GO:0050790,0.18380955
O14793,GO:0065009,0.1832178
O14793,GO:0030334,0.18212551
O14793,GO:0042127,0.18089044
O14793,GO:2000145,0.1807256
O14793,GO:0032501,0.17799756
O14793,GO:0040012,0.17777811
O14793,GO:0060395,0.17702217
O14793,GO:0051270,0.17575212
O14793,GO:0010862,0.17521311
O14793,GO:0007166,0.17493501
O14793,GO:0051241,0.17241141
O14793,GO:0010628,0.17122953
O14793,GO:0048585,0.16999409
O14793,GO:0010033,0.16898671
O14793,GO:0048513,0.168486
O14793,GO:0051338,0.16845399
O14793,GO:0060393,0.16827646
O14793,GO:1902533,0.16809982
O14793,GO:0042221,0.16768219
O14793,GO:0043408,0.16480611
O14793,GO:0043549,0.16476387
O14793,GO:0050896,0.16211417
O14793,GO:0045595,0.1584517
O14793,GO:0043410,0.15805277
O14793,GO:0009719,0.15556045
O14793,GO:0051094,0.155333
O14793,GO:0040008,0.15401123
O14793,GO:0051128,0.15372954
O14793,GO:0009725,0.15174723
O14793,GO:0009653,0.15036795
O14793,GO:0009968,0.14937744
O14793,GO:0023057,0.14913543
O14793,GO:0030336,0.14728652
O14793,GO:0045935,0.14722988
O14793,GO:0045597,0.1471723
O14793,GO:0010648,0.14703916
O14793,GO:0007178,0.14675008
O14793,GO:0090100,0.14623067
O14793,GO:0051254,0.14603995
O14793,GO:0051240,0.14563802
O14793,GO:0090092,0.14421031
O14793,GO:0010596,0.14382121
O14793,GO:0010941,0.14313872
O14793,GO:2000146,0.1429646
O14793,GO:0014070,0.1425596
O14793,GO:2000112,0.14254527
O14793,GO:0010556,0.14240858
O14793,GO:0048869,0.14128639
O14793,GO:0009889,0.14059085
O14793,GO:0008285,0.14055987
O14793,GO:0010557,0.13879797
O14793,GO:0044093,0.13872325
O14793,GO:0045926,0.1386849
O14793,GO:1903506,0.13837871
O14793,GO:2001141,0.13793239
O14793,GO:0006355,0.13788474
O14793,GO:0043067,0.1370025
O14793,GO:1903508,0.13660768
O14793,GO:0008152,0.13649079
O14793,GO:0019219,0.13627039
O14793,GO:0022603,0.13609219
O14793,GO:0071704,0.13583177
O14793,GO:0051898,0.13533148
O14793,GO:0009891,0.13491288
O14793,GO:0045893,0.13455334
O14793,GO:0042981,0.1344149
O14793,GO:1902680,0.13434665
O14793,GO:0051716,0.13420229
O14793,GO:0071310,0.13401994
O14793,GO:0051093,0.1337199
O14793,GO:0010633,0.13334432
O14793,GO:0043086,0.13324428
O14793,GO:0040013,0.13263161
O14793,GO:0051252,0.13239251
O14793,GO:0031326,0.13225095
O14793,GO:0051271,0.13206543
O14793,GO:0022414,0.13180235
O14793,GO:0044092,0.13170932
O14793,GO:0042326,0.13135733
O14793,GO:0045936,0.13104004
O14793,GO:0065008,0.13100359
O14793,GO:0032870,0.13047622
O14793,GO:0030335,0.13042077
O14793,GO:0044057,0.12971912
O14793,GO:0051130,0.1289075
O14793,GO:1901654,0.12883389
O14793,GO:0051896,0.12873496
O14793,GO:0040017,0.12814423
O14793,GO:0031328,0.1278645
O14793,GO:0010563,0.12783317
O14793,GO:0070887,0.12669402
O14793,GO:0043085,0.12625395
O14793,GO:0043170,0.12614295
O14793,GO:0071495,0.12575503
O14793,GO:2000147,0.12567434
O14793,GO:0010632,0.12519321
O14793,GO:0010594,0.123997286
O14793,GO:0003006,0.123073004
O14793,GO:0051272,0.12301546
O14793,GO:0048545,0.12236644
O14793,GO:0009410,0.122180864
O14793,GO:0045859,0.12214728
O14793,GO:0060548,0.122065805
O14793,GO:1901342,0.12186749
O14793,GO:0048638,0.121802986
O14793,GO:0045765,0.12155926
O14793,GO:0009892,0.121396996
O14793,GO:0050678,0.12114926
O14793,GO:0006807,0.1203953
O14793,GO:0044237,0.12038567
O14793,GO:0044238,0.12030871
O14793,GO:0002092,0.11918487
O14793,GO:0030154,0.11868888
O14793,GO:0014812,0.11858718
O14793,GO:0003008,0.11811099
O14793,GO:0043066,0.11763984
O14793,GO:0009888,0.117305815
O14793,GO:0007179,0.11702929
O14793,GO:0090287,0.116355956
O14793,GO:0033673,0.11575075
O14793,GO:0051050,0.11506482
O14793,GO:0045637,0.114979565
O14793,GO:0043069,0.11497833
O14793,GO:0008284,0.11484592
O14793,GO:0006950,0.11457133
O14793,GO:0051348,0.11433486
O14793,GO:0048729,0.11431588
O14793,GO:0016043,0.11373614
O14793,GO:0007169,0.11354419
O14793,GO:0051336,0.11331396
O14793,GO:0071840,0.11310829
O14793,GO:0071549,0.112611964
O14793,GO:0048634,0.11245589
O14793,GO:0016202,0.11238257
O14793,GO:1902532,0.112201884
O14793,GO:0060284,0.11163775
O14793,GO:0048646,0.11161832
