Proteins,GO-terms,Scores
O14793,GO:0005575,0.37526646
O14793,GO:0110165,0.35798624
O14793,GO:0043231,0.23635763
O14793,GO:0043229,0.2360022
O14793,GO:0043226,0.2317746
O14793,GO:0043227,0.22980174
O14793,GO:0005634,0.22198787
O14793,GO:0005737,0.19985312
O14793,GO:0005829,0.15326095
O14793,GO:0032991,0.13948919
O14793,GO:0005654,0.13543315
O14793,GO:0016020,0.12326975
O14793,GO:1902494,0.11776355
O14793,GO:1990234,0.11517941
O14793,GO:0031224,0.10514805
O14793,GO:0043232,0.10329763
O14793,GO:0016021,0.1030157
O14793,GO:0043228,0.102409415
O14793,GO:0005576,0.09730983
O14793,GO:0000785,0.09344448
O14793,GO:0000151,0.09206821
O14793,GO:0005615,0.09049271
O14793,GO:0005886,0.09048958
O14793,GO:0005739,0.08825612
O14793,GO:0031090,0.08428019
O14793,GO:0005730,0.08263747
O14793,GO:0000139,0.08057669
O14793,GO:0005794,0.076405905
O14793,GO:0005783,0.076349646
O14793,GO:0043233,0.07111541
O14793,GO:0070013,0.07101439
O14793,GO:0005694,0.07085109
O14793,GO:0005667,0.070624895
O14793,GO:0098588,0.070431985
O14793,GO:0031974,0.06986505
O14793,GO:0005773,0.06859758
O14793,GO:0098687,0.06791401
O14793,GO:0031461,0.06429079
O14793,GO:0031982,0.062232483
O14793,GO:0005815,0.06174013
O14793,GO:0016604,0.061156154
O14793,GO:0000323,0.060285155
O14793,GO:0000792,0.0588335
O14793,GO:0048471,0.058005884
O14793,GO:1990904,0.057990223
O14793,GO:0061695,0.057110593
O14793,GO:0005764,0.05682049
O14793,GO:0097708,0.056379348
O14793,GO:0005789,0.056217402
O14793,GO:0031410,0.056209184
O14793,GO:0001650,0.05614113
O14793,GO:0005759,0.0560971
O14793,GO:0044798,0.055048384
O14793,GO:0005819,0.054320946
O14793,GO:0031012,0.053250905
O14793,GO:0005768,0.053118125
O14793,GO:0005856,0.05306319
O14793,GO:0099080,0.052180473
O14793,GO:0042575,0.051838174
O14793,GO:0032993,0.050623946
O14793,GO:0012505,0.05049493
O14793,GO:0000781,0.05023247
O14793,GO:0000153,0.05004555
O14793,GO:0030054,0.049515814
O14793,GO:0005938,0.049430534
O14793,GO:0000118,0.048807982
O14793,GO:0036464,0.04857242
O14793,GO:0034708,0.048247572
O14793,GO:0000775,0.048223685
O14793,GO:0030880,0.04750894
O14793,GO:0000428,0.047041204
O14793,GO:0031463,0.04669933
O14793,GO:0016363,0.046674374
O14793,GO:0005721,0.046402298
O14793,GO:1902493,0.04625313
O14793,GO:0098552,0.04610212
O14793,GO:0032580,0.04587945
O14793,GO:0043230,0.045698516
O14793,GO:0035770,0.04536017
O14793,GO:1903561,0.04531133
O14793,GO:0031519,0.045221128
O14793,GO:0098796,0.045183886
O14793,GO:0042995,0.044912275
O14793,GO:0000152,0.044780366
O14793,GO:0055029,0.044778768
O14793,GO:0070062,0.04473909
O14793,GO:1905368,0.04464893
O14793,GO:0031248,0.044463716
O14793,GO:0000123,0.04442796
O14793,GO:0016234,0.043679573
O14793,GO:1905348,0.043602206
O14793,GO:0017053,0.04326462
O14793,GO:0005813,0.04322465
O14793,GO:1990204,0.04313517
O14793,GO:0005776,0.04274125
O14793,GO:0062023,0.042367082
O14793,GO:0009536,0.042217027
O14793,GO:0005816,0.042146776
O14793,GO:0031970,0.041737135
O14793,GO:0016607,0.041700054
O14793,GO:0005758,0.041687742
O14793,GO:0080008,0.04148419
O14793,GO:0090734,0.041358493
O14793,GO:0098798,0.0412838
O14793,GO:0032153,0.041004352
O14793,GO:1902911,0.040637325
